loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,Address
28165.05,60,17.93,714.2,D,D1,,2.0,RENT,80134.35,Verified,Feb-2018,Charged Off,credit_card,Credit Card,11.85,Jul-1982,11,0,26625.79,,16,W,Individual,,0,"Columbus, MI"
7977.29,36,10.14,257.93,A,A5,Project Manager,5.0,MORTGAGE,22860.61,Verified,Dec-2017,Fully Paid,debt_consolidation,Debt Consolidation,6.38,Jun-1997,11,0,13721.45,23.77,18,W,Joint,0.0,0,"Phoenix, TX"
21503.47,36,9.19,685.68,A,A3,Sales Associate,8.0,OWN,66064.53,Not Verified,Jul-2014,Fully Paid,moving,Moving,7.13,Sep-1998,8,0,3643.29,18.4,16,F,Individual,3.0,0,"Tampa, PA"
17830.75,36,16.3,629.53,D,D1,Sales Associate,2.0,MORTGAGE,49777.96,Not Verified,Jul-2016,Fully Paid,major_purchase,Major Purchase,24.5,Aug-2003,15,0,19039.55,27.35,23,W,Individual,2.0,0,"Atlanta, IL"
8312.14,36,15.31,289.4,D,D1,Mechanic,6.0,RENT,41613.42,Not Verified,Jul-2016,Charged Off,home_improvement,Home Improvement,21.83,Nov-1994,13,0,8761.17,52.69,23,W,Individual,1.0,0,"Dallas, CA"
15842.21,36,8.45,499.77,A,A3,Data Scientist,2.0,RENT,64767.55,Not Verified,Apr-2019,Fully Paid,house,House,2.55,Aug-2005,8,1,10782.3,61.74,12,F,Individual,2.0,0,"Seattle, IL"
31736.83,36,17.53,1139.88,D,D5,HR Specialist,10.0,MORTGAGE,77970.49,Not Verified,Apr-2015,Fully Paid,vacation,Vacation,6.67,Sep-2011,12,0,34100.39,75.61,20,W,Individual,2.0,1,"San Jose, NY"
15474.61,36,21.59,587.7,E,E4,Executive Assistant,1.0,RENT,54576.57,Source Verified,May-2018,Fully Paid,car,Car,20.24,Jan-1987,8,0,23604.48,64.6,17,W,Individual,0.0,0,"Chicago, WA"
4757.56,36,9.85,153.18,A,A4,Consultant,7.0,RENT,42700.64,Not Verified,Sep-2020,Fully Paid,other,Other,20.75,Mar-2012,11,0,15121.01,52.89,22,F,Individual,0.0,0,"Chicago, AZ"
17308.43,36,16.54,613.14,D,D2,Software Engineer,5.0,RENT,84937.62,Not Verified,Oct-2016,Fully Paid,moving,Moving,19.25,Aug-1981,6,0,31387.66,74.39,18,W,Individual,4.0,0,"Tampa, WA"
